sku,name,category,purchase_date,purchase_price,useful_life_months,coa_account,condition,current_location,notes
ITM-CAM-SONY-A7-01,"Camera Sony A7 Unit 1",camera,2023-06-15,15000000,60,1-400,normal,gudang_pusat,"Camera utama booth - sesuaikan tanggal & harga aktual"
ITM-CAM-SONY-A7-02,"Camera Sony A7 Unit 2",camera,2024-01-20,16000000,60,1-400,normal,gudang_pusat,"Camera cadangan/multi-booth"
ITM-CAM-SONY-A7C-01,"Camera Sony A7C Unit 1",camera,2024-06-10,18000000,60,1-400,normal,gudang_pusat,""
ITM-LENS-50MM-01,"Lens Sony 50mm f1.8",camera,2023-06-15,4500000,60,1-400,normal,gudang_pusat,"Lens portrait standard"
ITM-LENS-35MM-01,"Lens Sony 35mm f1.8",camera,2024-02-10,5500000,60,1-400,normal,gudang_pusat,"Lens wide untuk grup"
ITM-PRINTER-DNP-01,"Printer DNP DS620A Unit 1",printer,2023-03-10,18000000,48,1-400,normal,gudang_pusat,"Printer utama"
ITM-PRINTER-DNP-02,"Printer DNP DS620A Unit 2",printer,2024-01-15,18500000,48,1-400,normal,gudang_pusat,"Printer cadangan"
ITM-PRINTER-CANON-01,"Printer Canon Selphy CP1300",printer,2024-04-20,2500000,36,1-400,normal,gudang_pusat,"Printer untuk Polaroid format"
ITM-LIGHT-GODOX-AD200-01,"Lighting Godox AD200 Unit 1",lighting,2024-08-05,4500000,36,1-400,normal,gudang_pusat,"Strobe utama"
ITM-LIGHT-GODOX-AD200-02,"Lighting Godox AD200 Unit 2",lighting,2024-08-05,4500000,36,1-400,normal,gudang_pusat,""
ITM-LIGHT-SOFTBOX-01,"Softbox 60x90 Unit 1",lighting,2024-08-05,800000,24,1-400,normal,gudang_pusat,""
ITM-LIGHT-SOFTBOX-02,"Softbox 60x90 Unit 2",lighting,2024-08-05,800000,24,1-400,normal,gudang_pusat,""
ITM-LIGHT-STAND-01,"Lighting Stand Set",lighting,2024-08-05,1200000,36,1-400,normal,gudang_pusat,"Set 4 stand"
ITM-LAPTOP-MBP-01,"Macbook Pro M2",laptop,2023-09-12,28000000,48,1-400,normal,gudang_pusat,"Untuk operasional booth & desain"
ITM-LAPTOP-OPS-01,"Laptop Ops Booth Unit 1",laptop,2023-04-20,12000000,48,1-400,normal,gudang_pusat,"Laptop operasional booth dengan software photobooth"
ITM-FRAME-2R-01,"Frame 2R Set 1",props,2023-05-01,500000,24,1-400,normal,gudang_pusat,"Frame display photobooth 2R"
ITM-FRAME-4R-01,"Frame 4R Set 1",props,2023-05-01,750000,24,1-400,normal,gudang_pusat,"Frame display photobooth 4R"
ITM-FRAME-POLAROID-01,"Frame Polaroid Set 1",props,2023-05-01,600000,24,1-400,normal,gudang_pusat,""
ITM-BACKDROP-MERAH,"Backdrop Kain Merah",props,2024-02-15,800000,36,1-400,normal,gudang_pusat,"Backdrop warna Merah"
ITM-BACKDROP-GOLD,"Backdrop Kain Gold",props,2024-02-15,800000,36,1-400,normal,gudang_pusat,"Backdrop warna Gold"
ITM-BACKDROP-PUTIH,"Backdrop Kain Putih",props,2024-02-15,800000,36,1-400,normal,gudang_pusat,"Backdrop warna Putih"
ITM-BACKDROP-SILVER,"Backdrop Kain Silver",props,2024-02-15,800000,36,1-400,normal,gudang_pusat,"Backdrop warna Silver"
ITM-STAND-BOOTH-01,"Stand Booth Lengkap Set 1",stand,2023-04-20,3500000,60,1-400,normal,gudang_pusat,"Stand utama photobooth lengkap"
ITM-STAND-BOOTH-02,"Stand Booth Lengkap Set 2",stand,2024-03-15,3800000,60,1-400,normal,gudang_pusat,"Stand cadangan untuk multi-booth"
ITM-VIDEOBOOTH-360-01,"Videobooth 360 Spin Platform",videobooth,2024-05-10,15000000,60,1-400,normal,gudang_pusat,"Platform spin 360 untuk video"
ITM-MAGAZINE-BOX-01,"Magazine Box Frame Set",magazine,2024-09-01,8000000,48,1-400,normal,gudang_pusat,"Magazine Box installation kit"
ITM-PROPS-BOX-01,"Box Props & Costumes",props,2023-08-01,1500000,24,1-400,normal,gudang_pusat,"Box berisi properti foto, kacamata, topi, dll"
ITM-CABLE-EXT-SET,"Cable Extension Set",accessory,2023-04-20,500000,24,1-400,normal,gudang_pusat,"Set kabel extension dan power strip"
ITM-MEMORY-CARD-128GB,"Memory Card SD 128GB",accessory,2023-10-01,500000,24,1-400,normal,gudang_pusat,"SD card untuk camera"
ITM-EXTERNAL-HDD-1TB,"External HDD 1TB",accessory,2023-09-15,1200000,36,1-400,normal,gudang_pusat,"Backup foto event"
