name,category,frame_size,duration_hours,base_price,description,is_active
"2R Unlimited 2 Jam",photobooth_classic,2R,2,2000000,"Photobooth classic dengan cetak 2R unlimited selama 2 jam",true
"2R Unlimited 3 Jam",photobooth_classic,2R,3,2500000,"Photobooth classic dengan cetak 2R unlimited selama 3 jam",true
"2R Unlimited 4 Jam",photobooth_classic,2R,4,3000000,"Photobooth classic dengan cetak 2R unlimited selama 4 jam",true
"2R Unlimited 5 Jam",photobooth_classic,2R,5,3500000,"Photobooth classic dengan cetak 2R unlimited selama 5 jam",true
"2R Unlimited 6 Jam",photobooth_classic,2R,6,4000000,"Photobooth classic dengan cetak 2R unlimited selama 6 jam",true
"2R Unlimited 8 Jam",photobooth_classic,2R,8,5000000,"Photobooth classic dengan cetak 2R unlimited selama 8 jam",true
"4R Unlimited 2 Jam",photobooth_classic,4R,2,2000000,"Photobooth classic dengan cetak 4R unlimited selama 2 jam",true
"4R Unlimited 3 Jam",photobooth_classic,4R,3,2500000,"Photobooth classic dengan cetak 4R unlimited selama 3 jam",true
"4R Unlimited 4 Jam",photobooth_classic,4R,4,3000000,"Photobooth classic dengan cetak 4R unlimited selama 4 jam",true
"4R Unlimited 5 Jam",photobooth_classic,4R,5,3500000,"Photobooth classic dengan cetak 4R unlimited selama 5 jam",true
"4R Unlimited 6 Jam",photobooth_classic,4R,6,4000000,"Photobooth classic dengan cetak 4R unlimited selama 6 jam",true
"4R Unlimited 8 Jam",photobooth_classic,4R,8,5000000,"Photobooth classic dengan cetak 4R unlimited selama 8 jam",true
"Polaroid Unlimited 2 Jam",photobooth_classic,polaroid,2,2000000,"Photobooth Polaroid unlimited 2 jam",true
"Polaroid Unlimited 3 Jam",photobooth_classic,polaroid,3,2500000,"Photobooth Polaroid unlimited 3 jam",true
"Polaroid Unlimited 4 Jam",photobooth_classic,polaroid,4,3000000,"Photobooth Polaroid unlimited 4 jam",true
"Polaroid Unlimited 5 Jam",photobooth_classic,polaroid,5,3500000,"Photobooth Polaroid unlimited 5 jam",true
"Polaroid Unlimited 6 Jam",photobooth_classic,polaroid,6,4000000,"Photobooth Polaroid unlimited 6 jam",true
"Polaroid Unlimited 8 Jam",photobooth_classic,polaroid,8,5000000,"Photobooth Polaroid unlimited 8 jam",true
"Videobooth 360 - 2 Jam",videobooth_360,none,2,2500000,"360 Spin Videobooth 2 jam",true
"Videobooth 360 - 3 Jam",videobooth_360,none,3,3000000,"360 Spin Videobooth 3 jam",true
"Videobooth 360 - 4 Jam",videobooth_360,none,4,3500000,"360 Spin Videobooth 4 jam",true
"Videobooth 360 - 5 Jam",videobooth_360,none,5,4000000,"360 Spin Videobooth 5 jam",true
"Videobooth 360 - 6 Jam",videobooth_360,none,6,4500000,"360 Spin Videobooth 6 jam",true
"Videobooth 360 - 8 Jam",videobooth_360,none,8,5500000,"360 Spin Videobooth 8 jam",true
"Magazine Box + Photobooth - 3 Jam",magazine_combo,4R,3,5500000,"Magazine Box installation plus Photobooth 3 jam",true
"Magazine Box + Photobooth - 5 Jam",magazine_combo,4R,5,6000000,"Magazine Box installation plus Photobooth 5 jam",true
"Magazine Box + Photobooth - 8 Jam",magazine_combo,4R,8,7000000,"Magazine Box installation plus Photobooth 8 jam",true
"Magazine Box Only - 8 Jam",magazine_box_only,none,8,2500000,"Magazine Box installation only - tanpa crew standby",true
"Photo Stage Only - 2 Jam",photostage_only,none,2,1500000,"Photo Stage 2 jam",true
"Photo Stage Only - 3 Jam",photostage_only,none,3,2000000,"Photo Stage 3 jam",true
"Photo Stage + Photobooth - 2 Jam",photostage_combo,4R,2,4000000,"Photo Stage plus Photobooth 2 jam",true
"Photo Stage + Photobooth - 3 Jam",photostage_combo,4R,3,4500000,"Photo Stage plus Photobooth 3 jam",true
