sku,name,unit,unit_conversion,coa_account,min_stock_alert,purchase_price_avg,initial_stock,selling_price,notes
ITM-SLEEVE-2R,"Sleeve 2R",pcs,{},1-201,100,500,0,,"Sleeve untuk frame 2R - isi sesuai stok aktual"
ITM-SLEEVE-4R,"Sleeve 4R",pcs,{},1-201,100,800,0,,"Sleeve untuk frame 4R"
ITM-MEDIA-4R,"Media Set 4R",pcs,"{""box"":1400}",1-200,200,1200,0,,"1 box berisi 1400 pcs"
ITM-MEDIA-2R,"Media Set 2R",pcs,"{""box"":1400}",1-200,200,1200,0,,"Per sheet di-cut 4 strip 2R"
ITM-MEDIA-POLAROID,"Media Set Polaroid",pcs,{},1-200,50,2000,0,,"Polaroid format"
ITM-FD,"Flashdisk 8GB",pcs,{},1-202,5,40000,0,,"Untuk delivery softcopy ke klien"
ITM-POUCH,"Pouch Flashdisk",pcs,{},1-203,5,15000,0,,"Pouch fabric Tetra branded"
ITM-PHOTOMAGNET,"Photomagnet Sheet",pcs,{},1-204,20,7000,0,,"Per sheet menghasilkan 1 cetak photomagnet"
ITM-KEYCHAIN-FRAME-BULAT,"Acrylic Keychain Frame Bulat",pcs,{},1-205,30,3000,0,10000,"Keychain bulat - dijual Rp 10k/pcs"
ITM-KEYCHAIN-FRAME-KOTAK,"Acrylic Keychain Frame Kotak",pcs,{},1-205,30,3000,0,10000,"Keychain kotak"
ITM-KEYCHAIN-RING,"Keychain Ring Set",pcs,{},1-205,50,500,0,,"Ring dan rantai untuk keychain"
ITM-VOUCHER-PHOTOBOOTH,"Voucher Photobooth",pcs,{},1-209,100,250,0,,"Voucher cetak berdesain Tetra"
ITM-GUEST-BOOK-PAPER,"Guest Book Paper Sheet",lembar,{},1-209,30,8000,0,,"Lembaran untuk guest book photo"
ITM-COSTUME-SLEEVE-LEMBAR,"Costume Sleeve Lembar",lembar,{},1-209,300,1500,0,,"Lembaran sleeve untuk costume"
ITM-ALBUM-PHOTOSTRIPE,"Album Photostripe Cover",pcs,{},1-209,5,25000,0,,"Cover album untuk add-on Album Photostripe"
ITM-INK-DNP,"Ink Cartridge DNP",pcs,{},1-209,3,1500000,0,,"Tinta untuk printer DNP"
ITM-MEDIA-CLEANER,"Media Cleaner Cloth",pcs,{},1-209,10,5000,0,,"Lap pembersih media set"
